id,uri,dataHoraInicio,dataHoraFim,situacao,descricaoTipo,descricao,localExterno,orgao_id,orgao_sigla,orgao_nome,local_nome,local_predio,local_sala,local_andar
67059,https://dadosabertos.camara.leg.br/api/v2/eventos/67059,2023-02-01T10:12,2023-02-01T12:07,Encerrada,Sessão Preparatória - Posse,"Sessão Preparatória - Posse 1ª Sessão Preparatória destinada à posse de candidatos diplomados Deputados Federais, nos termos do art. 4º, do Regimento Interno da Câmara dos Deputados - 57ª Legislatura (2023/2027).",,180,PLEN,Plenário,Plenário da Câmara dos Deputados,,,
67060,https://dadosabertos.camara.leg.br/api/v2/eventos/67060,2023-02-01T16:57,2023-02-01T20:01,Encerrada,Sessão Preparatória - Eleição,Sessão Preparatória - Eleição,,180,PLEN,Plenário,Plenário da Câmara dos Deputados,,,
67087,https://dadosabertos.camara.leg.br/api/v2/eventos/67087,2023-02-02T10:30,2023-02-02T12:40,Encerrada,Sessão Deliberativa,Sessão Deliberativa Extraordinária,,180,PLEN,Plenário,Plenário da Câmara dos Deputados,,,
67089,https://dadosabertos.camara.leg.br/api/v2/eventos/67089,2023-02-02T15:06,2023-02-02T16:07,Encerrada,Sessão Não Deliberativa Solene,Inauguração da 1ª Sessão Legislativa Ordinária da 57ª Legislatura,,111,CN,CONGRESSO NACIONAL,Plenário da Câmara dos Deputados,,,
67090,https://dadosabertos.camara.leg.br/api/v2/eventos/67090,2023-02-03T10:39,2023-02-03T12:31,Encerrada,Sessão Deliberativa,Sessão Deliberativa Extraordinária (virtual),,180,PLEN,Plenário,Plenário da Câmara dos Deputados,,,
67091,https://dadosabertos.camara.leg.br/api/v2/eventos/67091,2023-02-07T15:00,2023-02-07T21:23,Encerrada,Sessão Deliberativa,Sessão Deliberativa Extraordinária (semipresencial),,180,PLEN,Plenário,Plenário da Câmara dos Deputados,,,
67104,https://dadosabertos.camara.leg.br/api/v2/eventos/67104,2023-02-08T13:56,2023-02-08T19:29,Encerrada,Sessão Deliberativa,Sessão Deliberativa Extraordinária (semipresencial),,180,PLEN,Plenário,Plenário da Câmara dos Deputados,,,
67106,https://dadosabertos.camara.leg.br/api/v2/eventos/67106,2023-02-09T09:00,,Convocada,Painel,"Encontro com a Indústria de Defesa Defesa e desenvolvimento caminham juntos quando os investimentos na capacitação das Forças Armadas criam oportunidades que favorecem a inovação e o crescimento econômico. O encontro visa trabalhar na implementação de políticas e iniciativas que busquem associar a recomposição da capacidade operativa da Marinha, do Exército e da Aeronáutica à busca de autonomia tecnológica e ao fortalecimento da Base Industrial de Defesa (BID). Tanto quanto manter indústrias, parques de produção e empregos, os esforços empreendidos visam fazer com que o país, a partir desse setor, possa desenvolver novos modos de incorporar ciência, tecnologia e inovação nos bens e serviços produzidos.",,100950,EVENTOS,Eventos,Auditório Nereu Ramos,,,
67107,https://dadosabertos.camara.leg.br/api/v2/eventos/67107,2023-02-09T09:00,2023-02-09T13:55,Encerrada,Sessão Deliberativa,Sessão Deliberativa Extraordinária (semipresencial),,180,PLEN,Plenário,Plenário da Câmara dos Deputados,,,
67113,https://dadosabertos.camara.leg.br/api/v2/eventos/67113,2023-02-14T13:56,2023-02-14T21:39,Encerrada,Sessão Deliberativa,Sessão Deliberativa Extraordinária (semipresencial),,180,PLEN,Plenário,Plenário da Câmara dos Deputados,,,
